TITLE,AUTHOR,FILEPATH,BOOKURL
--And Devious the Line of Duty,['Tom Godwin'],./data/2/2/5/8/22585/22585.txt,http://www.iblist.com/book10545.htm
A Bullet for Cinderella,['John D. MacDonald'],./data/4/9/9/3/49931/49931-8.txt,http://www.iblist.com/book67844.htm
A Child's Garden of Verses,['Robert Louis Stevenson'],./data/1/3/136/136.txt,http://www.iblist.com/book26808.htm
A Child's Garden of Verses,['Robert Louis Stevenson'],./data/1/9/7/2/19722/19722.txt,http://www.iblist.com/book26808.htm
A Child's Garden of Verses,['Robert Louis Stevenson'],./data/2/5/6/0/25608/25608.txt,http://www.iblist.com/book26808.htm
A Child's Garden of Verses,['Robert Louis Stevenson'],./data/2/5/6/0/25609/25609.txt,http://www.iblist.com/book26808.htm
A Child's Garden of Verses,['Robert Louis Stevenson'],./data/2/5/6/1/25610/25610.txt,http://www.iblist.com/book26808.htm
A Child's Garden of Verses,['Robert Louis Stevenson'],./data/2/5/6/1/25611/25611.txt,http://www.iblist.com/book26808.htm
A Child's Garden of Verses,['Robert Louis Stevenson'],./data/2/5/6/1/25617/25617.txt,http://www.iblist.com/book26808.htm
A Child's Garden of Verses,['Robert Louis Stevenson'],./data/2/8/7/2/28722/28722.txt,http://www.iblist.com/book26808.htm
A Christmas Carol,['Charles Dickens'],./data/1/9/3/3/19337/19337.txt,http://www.iblist.com/book2300.htm
A Christmas Carol,['Charles Dickens'],./data/2/4/0/2/24022/24022.txt,http://www.iblist.com/book2300.htm
A Christmas Carol,['Charles Dickens'],./data/3/0/3/6/30368/30368.txt,http://www.iblist.com/book2300.htm
A Christmas Carol,['Charles Dickens'],./data/4/46/46.txt,http://www.iblist.com/book2300.htm
"A Connecticut Yankee in King Arthur's Court, Complete",['Mark Twain'],./data/8/86/86.txt,http://www.iblist.com/book1409.htm
"A Connecticut Yankee in King Arthur's Court, Part 1.",['Mark Twain'],./data/7/2/4/7242/7242.txt,http://www.iblist.com/book1409.htm
"A Connecticut Yankee in King Arthur's Court, Part 2.",['Mark Twain'],./data/7/2/4/7243/7243.txt,http://www.iblist.com/book1409.htm
"A Connecticut Yankee in King Arthur's Court, Part 3.",['Mark Twain'],./data/7/2/4/7244/7244.txt,http://www.iblist.com/book1409.htm
"A Connecticut Yankee in King Arthur's Court, Part 4.",['Mark Twain'],./data/7/2/4/7245/7245.txt,http://www.iblist.com/book1409.htm
"A Connecticut Yankee in King Arthur's Court, Part 5.",['Mark Twain'],./data/7/2/4/7246/7246.txt,http://www.iblist.com/book1409.htm
"A Connecticut Yankee in King Arthur's Court, Part 6.",['Mark Twain'],./data/7/2/4/7247/7247.txt,http://www.iblist.com/book1409.htm
"A Connecticut Yankee in King Arthur's Court, Part 7.",['Mark Twain'],./data/7/2/4/7248/7248.txt,http://www.iblist.com/book1409.htm
"A Connecticut Yankee in King Arthur's Court, Part 8.",['Mark Twain'],./data/7/2/4/7249/7249.txt,http://www.iblist.com/book1409.htm
"A Connecticut Yankee in King Arthur's Court, Part 9.",['Mark Twain'],./data/7/2/5/7250/7250.txt,http://www.iblist.com/book1409.htm
